dat_site,LCT_shared,abundance,p_a
gog4 2020 7 26,Brachyistius frenatus,0,0
gog4 2020 7 26,Chitonotus pugetensis,0,0
gog4 2020 7 26,Citharichthys1,1,1
gog4 2020 7 26,Clinocottus acuticeps,0,0
gog4 2020 7 26,Clupea pallasii,1,1
gog4 2020 7 26,Cymatogaster aggregata,12,1
gog4 2020 7 26,Embiotoca lateralis,0,0
gog4 2020 7 26,Enophrys bison,0,0
gog4 2020 7 26,Gadus chalcogrammus,0,0
gog4 2020 7 26,Gadus macrocephalus,0,0
gog4 2020 7 26,Gasterosteus aculeatus,0,0
gog4 2020 7 26,Gibbonsia metzi,0,0
gog4 2020 7 26,Gobiesox maeandricus,0,0
gog4 2020 7 26,Hemilepidotus hemilepidotus,0,0
gog4 2020 7 26,Hexagrammos decagrammus,1,1
gog4 2020 7 26,Hexagrammos stelleri,0,0
gog4 2020 7 26,Hexagrammos1,0,0
gog4 2020 7 26,Hypomesus pretiosus,0,0
gog4 2020 7 26,Jordania zonope,0,0
gog4 2020 7 26,Lepidogobius lepidus,0,0
gog4 2020 7 26,Lepidopsetta1,0,0
gog4 2020 7 26,Leptocottus armatus,1,1
gog4 2020 7 26,Lumpenus sagitta,0,0
gog4 2020 7 26,Microgadus proximus,0,0
gog4 2020 7 26,Myoxocephalus1,0,0
gog4 2020 7 26,Odontopyxis trispinosa,0,0
gog4 2020 7 26,Oligocottus rimensis,0,0
gog4 2020 7 26,Oligocottus1,3,1
gog4 2020 7 26,Oncorhynchus kisutch,0,0
gog4 2020 7 26,Oncorhynchus tshawytscha,0,0
gog4 2020 7 26,Ophiodon elongatus,0,0
gog4 2020 7 26,Oxylebius pictus,0,0
gog4 2020 7 26,Pallasina barbata,0,0
gog4 2020 7 26,Pholis1,0,0
gog4 2020 7 26,Platichthys stellatus,0,0
gog4 2020 7 26,Pleuronectidae1,336,1
gog4 2020 7 26,Pleuronichthys coenosus,0,0
gog4 2020 7 26,Rhacochilus vacca,0,0
gog4 2020 7 26,Rhinogobiops nicholsii,0,0
gog4 2020 7 26,Rimicola muscarum,0,0
gog4 2020 7 26,Salvelinus malma,0,0
gog4 2020 7 26,Scorpaenichthys marmoratus,0,0
gog4 2020 7 26,Sebastes paucispinis,0,0
gog4 2020 7 26,Sebastes1,0,0
gog4 2020 7 26,Sebastes2,0,0
gog4 2020 7 26,Synchirus gilli,0,0
gog4 2020 7 26,Syngnathus leptorhynchus,0,0
gog4 2020 7 26,Trichodon trichodon,0,0
hab2 2018 7 12,Ammodytes1,371,1
hab2 2018 7 12,Amphistichus rhodoterus,9,1
hab2 2018 7 12,Anoplarchus1,0,0
hab2 2018 7 12,Apodichthys flavidus,0,0
hab2 2018 7 12,Artedius1,0,0
hab2 2018 7 12,Ascelichthys rhodorus,0,0
hab2 2018 7 12,Aulorhynchus flavidus,0,0
hab2 2018 7 12,Blepsias cirrhosus,0,0
hab2 2018 7 12,Brachyistius frenatus,0,0
hab2 2018 7 12,Chitonotus pugetensis,0,0
hab2 2018 7 12,Citharichthys1,36,1
hab2 2018 7 12,Clinocottus acuticeps,0,0
hab2 2018 7 12,Clupea pallasii,11,1
hab2 2018 7 12,Cymatogaster aggregata,18,1
hab2 2018 7 12,Embiotoca lateralis,0,0
hab2 2018 7 12,Enophrys bison,0,0
hab2 2018 7 12,Gadus chalcogrammus,0,0
hab2 2018 7 12,Gadus macrocephalus,0,0
hab2 2018 7 12,Gasterosteus aculeatus,0,0
hab2 2018 7 12,Gibbonsia metzi,0,0
hab2 2018 7 12,Gobiesox maeandricus,0,0
hab2 2018 7 12,Hemilepidotus hemilepidotus,0,0
hab2 2018 7 12,Hexagrammos decagrammus,0,0
hab2 2018 7 12,Hexagrammos stelleri,0,0
hab2 2018 7 12,Hexagrammos1,0,0
hab2 2018 7 12,Hypomesus pretiosus,1,1
hab2 2018 7 12,Jordania zonope,0,0
hab2 2018 7 12,Lepidogobius lepidus,0,0
hab2 2018 7 12,Lepidopsetta1,0,0
hab2 2018 7 12,Leptocottus armatus,3,1
hab2 2018 7 12,Lumpenus sagitta,0,0
hab2 2018 7 12,Microgadus proximus,0,0
hab2 2018 7 12,Myoxocephalus1,0,0
hab2 2018 7 12,Odontopyxis trispinosa,0,0
hab2 2018 7 12,Oligocottus rimensis,0,0
hab2 2018 7 12,Oligocottus1,0,0
hab2 2018 7 12,Oncorhynchus kisutch,0,0
hab2 2018 7 12,Oncorhynchus tshawytscha,0,0
hab2 2018 7 12,Ophiodon elongatus,0,0
hab2 2018 7 12,Oxylebius pictus,0,0
hab2 2018 7 12,Pallasina barbata,0,0
hab2 2018 7 12,Pholis1,0,0
hab2 2018 7 12,Platichthys stellatus,2,1
hab2 2018 7 12,Pleuronectidae1,45,1
hab2 2018 7 12,Pleuronichthys coenosus,0,0
hab2 2018 7 12,Rhacochilus vacca,0,0
hab2 2018 7 12,Rhinogobiops nicholsii,0,0
hab2 2018 7 12,Rimicola muscarum,0,0
hab2 2018 7 12,Salvelinus malma,0,0
hab2 2018 7 12,Scorpaenichthys marmoratus,0,0
hab2 2018 7 12,Sebastes paucispinis,0,0
hab2 2018 7 12,Sebastes1,0,0
hab2 2018 7 12,Sebastes2,0,0
hab2 2018 7 12,Synchirus gilli,0,0
hab2 2018 7 12,Syngnathus leptorhynchus,0,0
hab2 2018 7 12,Trichodon trichodon,0,0
hab4 2018 7 11,Ammodytes1,0,0
hab4 2018 7 11,Amphistichus rhodoterus,0,0
hab4 2018 7 11,Anoplarchus1,2,1
hab4 2018 7 11,Apodichthys flavidus,6,1
hab4 2018 7 11,Artedius1,0,0
hab4 2018 7 11,Ascelichthys rhodorus,0,0
hab4 2018 7 11,Aulorhynchus flavidus,0,0
hab4 2018 7 11,Blepsias cirrhosus,0,0
hab4 2018 7 11,Brachyistius frenatus,0,0
hab4 2018 7 11,Chitonotus pugetensis,0,0
hab4 2018 7 11,Citharichthys1,2,1
hab4 2018 7 11,Clinocottus acuticeps,0,0
hab4 2018 7 11,Clupea pallasii,0,0
hab4 2018 7 11,Cymatogaster aggregata,5,1
hab4 2018 7 11,Embiotoca lateralis,0,0
hab4 2018 7 11,Enophrys bison,3,1
hab4 2018 7 11,Gadus chalcogrammus,0,0
hab4 2018 7 11,Gadus macrocephalus,0,0
hab4 2018 7 11,Gasterosteus aculeatus,1,1
hab4 2018 7 11,Gibbonsia metzi,0,0
hab4 2018 7 11,Gobiesox maeandricus,0,0
hab4 2018 7 11,Hemilepidotus hemilepidotus,2,1
hab4 2018 7 11,Hexagrammos decagrammus,0,0
hab4 2018 7 11,Hexagrammos stelleri,1,1
hab4 2018 7 11,Hexagrammos1,0,0
hab4 2018 7 11,Hypomesus pretiosus,2,1
hab4 2018 7 11,Jordania zonope,0,0
hab4 2018 7 11,Lepidogobius lepidus,0,0
hab4 2018 7 11,Lepidopsetta1,0,0
hab4 2018 7 11,Leptocottus armatus,88,1
hab4 2018 7 11,Lumpenus sagitta,1,1
hab4 2018 7 11,Microgadus proximus,0,0
hab4 2018 7 11,Myoxocephalus1,92,1
hab4 2018 7 11,Odontopyxis trispinosa,0,0
hab4 2018 7 11,Oligocottus rimensis,0,0
hab4 2018 7 11,Oligocottus1,40,1
hab4 2018 7 11,Oncorhynchus kisutch,0,0
hab4 2018 7 11,Oncorhynchus tshawytscha,0,0
hab4 2018 7 11,Ophiodon elongatus,5,1
hab4 2018 7 11,Oxylebius pictus,0,0
hab4 2018 7 11,Pallasina barbata,0,0
hab4 2018 7 11,Pholis1,64,1
hab4 2018 7 11,Platichthys stellatus,25,1
hab4 2018 7 11,Pleuronectidae1,17,1
hab4 2018 7 11,Pleuronichthys coenosus,0,0
hab4 2018 7 11,Rhacochilus vacca,0,0
hab4 2018 7 11,Rhinogobiops nicholsii,2,1
hab4 2018 7 11,Rimicola muscarum,0,0
hab4 2018 7 11,Salvelinus malma,0,0
hab4 2018 7 11,Scorpaenichthys marmoratus,0,0
hab4 2018 7 11,Sebastes paucispinis,0,0
hab4 2018 7 11,Sebastes1,0,0
hab4 2018 7 11,Sebastes2,0,0
hab4 2018 7 11,Synchirus gilli,0,0
hab4 2018 7 11,Syngnathus leptorhynchus,12,1
hab4 2018 7 11,Trichodon trichodon,0,0
hdo 2018 7 11,Ammodytes1,0,0
hdo 2018 7 11,Amphistichus rhodoterus,0,0
hdo 2018 7 11,Anoplarchus1,0,0
hdo 2018 7 11,Apodichthys flavidus,0,0
hdo 2018 7 11,Artedius1,0,0
hdo 2018 7 11,Ascelichthys rhodorus,0,0
hdo 2018 7 11,Aulorhynchus flavidus,1,1
hdo 2018 7 11,Blepsias cirrhosus,1,1
hdo 2018 7 11,Brachyistius frenatus,0,0
hdo 2018 7 11,Chitonotus pugetensis,0,0
hdo 2018 7 11,Citharichthys1,14,1
hdo 2018 7 11,Clinocottus acuticeps,0,0
hdo 2018 7 11,Clupea pallasii,0,0
hdo 2018 7 11,Cymatogaster aggregata,116,1
hdo 2018 7 11,Embiotoca lateralis,0,0
hdo 2018 7 11,Enophrys bison,1,1
hdo 2018 7 11,Gadus chalcogrammus,0,0
hdo 2018 7 11,Gadus macrocephalus,0,0
hdo 2018 7 11,Gasterosteus aculeatus,42,1
hdo 2018 7 11,Gibbonsia metzi,0,0
hdo 2018 7 11,Gobiesox maeandricus,0,0
hdo 2018 7 11,Hemilepidotus hemilepidotus,0,0
hdo 2018 7 11,Hexagrammos decagrammus,0,0
hdo 2018 7 11,Hexagrammos stelleri,0,0
hdo 2018 7 11,Hexagrammos1,0,0
hdo 2018 7 11,Hypomesus pretiosus,0,0
hdo 2018 7 11,Jordania zonope,0,0
hdo 2018 7 11,Lepidogobius lepidus,0,0
hdo 2018 7 11,Lepidopsetta1,0,0
hdo 2018 7 11,Leptocottus armatus,80,1
hdo 2018 7 11,Lumpenus sagitta,1,1
hdo 2018 7 11,Microgadus proximus,1,1
hdo 2018 7 11,Myoxocephalus1,14,1
hdo 2018 7 11,Odontopyxis trispinosa,0,0
hdo 2018 7 11,Oligocottus rimensis,0,0
hdo 2018 7 11,Oligocottus1,0,0
hdo 2018 7 11,Oncorhynchus kisutch,0,0
hdo 2018 7 11,Oncorhynchus tshawytscha,0,0
hdo 2018 7 11,Ophiodon elongatus,4,1
hdo 2018 7 11,Oxylebius pictus,0,0
hdo 2018 7 11,Pallasina barbata,0,0
hdo 2018 7 11,Pholis1,1,1
hdo 2018 7 11,Platichthys stellatus,3,1
hdo 2018 7 11,Pleuronectidae1,14,1
hdo 2018 7 11,Pleuronichthys coenosus,0,0
hdo 2018 7 11,Rhacochilus vacca,0,0
hdo 2018 7 11,Rhinogobiops nicholsii,0,0
hdo 2018 7 11,Rimicola muscarum,0,0
hdo 2018 7 11,Salvelinus malma,0,0
hdo 2018 7 11,Scorpaenichthys marmoratus,1,1
hdo 2018 7 11,Sebastes paucispinis,0,0
hdo 2018 7 11,Sebastes1,0,0
hdo 2018 7 11,Sebastes2,0,0
hdo 2018 7 11,Synchirus gilli,0,0
hdo 2018 7 11,Syngnathus leptorhynchus,38,1
hdo 2018 7 11,Trichodon trichodon,0,0
hdo 2018 8 23,Ammodytes1,0,0
hdo 2018 8 23,Amphistichus rhodoterus,0,0
hdo 2018 8 23,Anoplarchus1,0,0
hdo 2018 8 23,Apodichthys flavidus,0,0
hdo 2018 8 23,Artedius1,0,0
hdo 2018 8 23,Ascelichthys rhodorus,0,0
hdo 2018 8 23,Aulorhynchus flavidus,0,0
hdo 2018 8 23,Blepsias cirrhosus,0,0
hdo 2018 8 23,Brachyistius frenatus,0,0
hdo 2018 8 23,Chitonotus pugetensis,0,0
hdo 2018 8 23,Citharichthys1,3,1
hdo 2018 8 23,Clinocottus acuticeps,0,0
hdo 2018 8 23,Clupea pallasii,0,0
hdo 2018 8 23,Cymatogaster aggregata,131,1
hdo 2018 8 23,Embiotoca lateralis,0,0
hdo 2018 8 23,Enophrys bison,0,0
hdo 2018 8 23,Gadus chalcogrammus,0,0
hdo 2018 8 23,Gadus macrocephalus,0,0
hdo 2018 8 23,Gasterosteus aculeatus,73,1
hdo 2018 8 23,Gibbonsia metzi,0,0
hdo 2018 8 23,Gobiesox maeandricus,0,0
hdo 2018 8 23,Hemilepidotus hemilepidotus,0,0
hdo 2018 8 23,Hexagrammos decagrammus,0,0
hdo 2018 8 23,Hexagrammos stelleri,0,0
hdo 2018 8 23,Hexagrammos1,0,0
hdo 2018 8 23,Hypomesus pretiosus,0,0
hdo 2018 8 23,Jordania zonope,0,0
hdo 2018 8 23,Lepidogobius lepidus,0,0
hdo 2018 8 23,Lepidopsetta1,0,0
hdo 2018 8 23,Leptocottus armatus,112,1
hdo 2018 8 23,Lumpenus sagitta,0,0
hdo 2018 8 23,Microgadus proximus,0,0
hdo 2018 8 23,Myoxocephalus1,4,1
hdo 2018 8 23,Odontopyxis trispinosa,0,0
hdo 2018 8 23,Oligocottus rimensis,0,0
hdo 2018 8 23,Oligocottus1,3,1
hdo 2018 8 23,Oncorhynchus kisutch,0,0
hdo 2018 8 23,Oncorhynchus tshawytscha,0,0
hdo 2018 8 23,Ophiodon elongatus,0,0
hdo 2018 8 23,Oxylebius pictus,0,0
hdo 2018 8 23,Pallasina barbata,0,0
hdo 2018 8 23,Pholis1,0,0
hdo 2018 8 23,Platichthys stellatus,5,1
hdo 2018 8 23,Pleuronectidae1,6,1
hdo 2018 8 23,Pleuronichthys coenosus,0,0
hdo 2018 8 23,Rhacochilus vacca,0,0
hdo 2018 8 23,Rhinogobiops nicholsii,0,0
hdo 2018 8 23,Rimicola muscarum,0,0
hdo 2018 8 23,Salvelinus malma,0,0
hdo 2018 8 23,Scorpaenichthys marmoratus,0,0
hdo 2018 8 23,Sebastes paucispinis,0,0
hdo 2018 8 23,Sebastes1,0,0
hdo 2018 8 23,Sebastes2,0,0
hdo 2018 8 23,Synchirus gilli,0,0
hdo 2018 8 23,Syngnathus leptorhynchus,2,1
hdo 2018 8 23,Trichodon trichodon,0,0
hdo 2019 7 29,Ammodytes1,0,0
hdo 2019 7 29,Amphistichus rhodoterus,0,0
hdo 2019 7 29,Anoplarchus1,0,0
hdo 2019 7 29,Apodichthys flavidus,0,0
hdo 2019 7 29,Artedius1,0,0
hdo 2019 7 29,Ascelichthys rhodorus,0,0
hdo 2019 7 29,Aulorhynchus flavidus,0,0
hdo 2019 7 29,Blepsias cirrhosus,0,0
hdo 2019 7 29,Brachyistius frenatus,0,0
hdo 2019 7 29,Chitonotus pugetensis,0,0
hdo 2019 7 29,Citharichthys1,8,1
hdo 2019 7 29,Clinocottus acuticeps,1,1
hdo 2019 7 29,Clupea pallasii,0,0
hdo 2019 7 29,Cymatogaster aggregata,424,1
hdo 2019 7 29,Embiotoca lateralis,0,0
hdo 2019 7 29,Enophrys bison,0,0
hdo 2019 7 29,Gadus chalcogrammus,0,0
hdo 2019 7 29,Gadus macrocephalus,0,0
hdo 2019 7 29,Gasterosteus aculeatus,1,1
hdo 2019 7 29,Gibbonsia metzi,0,0
hdo 2019 7 29,Gobiesox maeandricus,0,0
hdo 2019 7 29,Hemilepidotus hemilepidotus,0,0
hdo 2019 7 29,Hexagrammos decagrammus,0,0
hdo 2019 7 29,Hexagrammos stelleri,0,0
hdo 2019 7 29,Hexagrammos1,0,0
hdo 2019 7 29,Hypomesus pretiosus,0,0
hdo 2019 7 29,Jordania zonope,0,0
hdo 2019 7 29,Lepidogobius lepidus,0,0
hdo 2019 7 29,Lepidopsetta1,0,0
hdo 2019 7 29,Leptocottus armatus,93,1
hdo 2019 7 29,Lumpenus sagitta,0,0
hdo 2019 7 29,Microgadus proximus,0,0
hdo 2019 7 29,Myoxocephalus1,1,1
hdo 2019 7 29,Odontopyxis trispinosa,0,0
hdo 2019 7 29,Oligocottus rimensis,0,0
hdo 2019 7 29,Oligocottus1,17,1
hdo 2019 7 29,Oncorhynchus kisutch,0,0
hdo 2019 7 29,Oncorhynchus tshawytscha,0,0
hdo 2019 7 29,Ophiodon elongatus,0,0
hdo 2019 7 29,Oxylebius pictus,0,0
hdo 2019 7 29,Pallasina barbata,0,0
hdo 2019 7 29,Pholis1,2,1
hdo 2019 7 29,Platichthys stellatus,1,1
hdo 2019 7 29,Pleuronectidae1,15,1
hdo 2019 7 29,Pleuronichthys coenosus,0,0
hdo 2019 7 29,Rhacochilus vacca,0,0
hdo 2019 7 29,Rhinogobiops nicholsii,0,0
hdo 2019 7 29,Rimicola muscarum,0,0
hdo 2019 7 29,Salvelinus malma,0,0
hdo 2019 7 29,Scorpaenichthys marmoratus,0,0
hdo 2019 7 29,Sebastes paucispinis,0,0
hdo 2019 7 29,Sebastes1,0,0
hdo 2019 7 29,Sebastes2,0,0
hdo 2019 7 29,Synchirus gilli,0,0
hdo 2019 7 29,Syngnathus leptorhynchus,22,1
hdo 2019 7 29,Trichodon trichodon,0,0
hdo 2020 7 19,Ammodytes1,0,0
hdo 2020 7 19,Amphistichus rhodoterus,0,0
hdo 2020 7 19,Anoplarchus1,0,0
hdo 2020 7 19,Apodichthys flavidus,0,0
hdo 2020 7 19,Artedius1,0,0
hdo 2020 7 19,Ascelichthys rhodorus,0,0
hdo 2020 7 19,Aulorhynchus flavidus,0,0
hdo 2020 7 19,Blepsias cirrhosus,4,1
hdo 2020 7 19,Brachyistius frenatus,0,0
hdo 2020 7 19,Chitonotus pugetensis,0,0
hdo 2020 7 19,Citharichthys1,8,1
hdo 2020 7 19,Clinocottus acuticeps,0,0
hdo 2020 7 19,Clupea pallasii,0,0
hdo 2020 7 19,Cymatogaster aggregata,104,1
hdo 2020 7 19,Embiotoca lateralis,0,0
hdo 2020 7 19,Enophrys bison,0,0
hdo 2020 7 19,Gadus chalcogrammus,0,0
hdo 2020 7 19,Gadus macrocephalus,0,0
hdo 2020 7 19,Gasterosteus aculeatus,28,1
hdo 2020 7 19,Gibbonsia metzi,0,0
hdo 2020 7 19,Gobiesox maeandricus,0,0
hdo 2020 7 19,Hemilepidotus hemilepidotus,0,0
hdo 2020 7 19,Hexagrammos decagrammus,8,1
hdo 2020 7 19,Hexagrammos stelleri,0,0
hdo 2020 7 19,Hexagrammos1,0,0
hdo 2020 7 19,Hypomesus pretiosus,0,0
hdo 2020 7 19,Jordania zonope,0,0
hdo 2020 7 19,Lepidogobius lepidus,1,1
hdo 2020 7 19,Lepidopsetta1,0,0
hdo 2020 7 19,Leptocottus armatus,89,1
hdo 2020 7 19,Lumpenus sagitta,1,1
hdo 2020 7 19,Microgadus proximus,0,0
hdo 2020 7 19,Myoxocephalus1,0,0
hdo 2020 7 19,Odontopyxis trispinosa,0,0
hdo 2020 7 19,Oligocottus rimensis,0,0
hdo 2020 7 19,Oligocottus1,4,1
hdo 2020 7 19,Oncorhynchus kisutch,0,0
hdo 2020 7 19,Oncorhynchus tshawytscha,0,0
hdo 2020 7 19,Ophiodon elongatus,20,1
hdo 2020 7 19,Oxylebius pictus,0,0
hdo 2020 7 19,Pallasina barbata,0,0
hdo 2020 7 19,Pholis1,7,1
hdo 2020 7 19,Platichthys stellatus,0,0
hdo 2020 7 19,Pleuronectidae1,1,1
hdo 2020 7 19,Pleuronichthys coenosus,0,0
hdo 2020 7 19,Rhacochilus vacca,0,0
hdo 2020 7 19,Rhinogobiops nicholsii,0,0
hdo 2020 7 19,Rimicola muscarum,0,0
hdo 2020 7 19,Salvelinus malma,0,0
hdo 2020 7 19,Scorpaenichthys marmoratus,0,0
hdo 2020 7 19,Sebastes paucispinis,0,0
hdo 2020 7 19,Sebastes1,0,0
hdo 2020 7 19,Sebastes2,0,0
hdo 2020 7 19,Synchirus gilli,0,0
hdo 2020 7 19,Syngnathus leptorhynchus,96,1
hdo 2020 7 19,Trichodon trichodon,0,0
kis1 2018 7 13,Ammodytes1,28,1
kis1 2018 7 13,Amphistichus rhodoterus,0,0
kis1 2018 7 13,Anoplarchus1,0,0
kis1 2018 7 13,Apodichthys flavidus,13,1
kis1 2018 7 13,Artedius1,0,0
kis1 2018 7 13,Ascelichthys rhodorus,0,0
kis1 2018 7 13,Aulorhynchus flavidus,2,1
kis1 2018 7 13,Blepsias cirrhosus,2,1
kis1 2018 7 13,Brachyistius frenatus,0,0
kis1 2018 7 13,Chitonotus pugetensis,2,1
kis1 2018 7 13,Citharichthys1,3,1
kis1 2018 7 13,Clinocottus acuticeps,0,0
kis1 2018 7 13,Clupea pallasii,0,0
kis1 2018 7 13,Cymatogaster aggregata,27,1
kis1 2018 7 13,Embiotoca lateralis,0,0
kis1 2018 7 13,Enophrys bison,6,1
kis1 2018 7 13,Gadus chalcogrammus,0,0
kis1 2018 7 13,Gadus macrocephalus,0,0
kis1 2018 7 13,Gasterosteus aculeatus,0,0
kis1 2018 7 13,Gibbonsia metzi,0,0
kis1 2018 7 13,Gobiesox maeandricus,0,0
kis1 2018 7 13,Hemilepidotus hemilepidotus,3,1
kis1 2018 7 13,Hexagrammos decagrammus,9,1
kis1 2018 7 13,Hexagrammos stelleri,0,0
kis1 2018 7 13,Hexagrammos1,0,0
kis1 2018 7 13,Hypomesus pretiosus,0,0
kis1 2018 7 13,Jordania zonope,0,0
kis1 2018 7 13,Lepidogobius lepidus,0,0
kis1 2018 7 13,Lepidopsetta1,0,0
kis1 2018 7 13,Leptocottus armatus,1,1
kis1 2018 7 13,Lumpenus sagitta,0,0
kis1 2018 7 13,Microgadus proximus,0,0
kis1 2018 7 13,Myoxocephalus1,0,0
kis1 2018 7 13,Odontopyxis trispinosa,0,0
kis1 2018 7 13,Oligocottus rimensis,0,0
kis1 2018 7 13,Oligocottus1,1,1
kis1 2018 7 13,Oncorhynchus kisutch,0,0
kis1 2018 7 13,Oncorhynchus tshawytscha,0,0
kis1 2018 7 13,Ophiodon elongatus,0,0
kis1 2018 7 13,Oxylebius pictus,0,0
kis1 2018 7 13,Pallasina barbata,0,0
kis1 2018 7 13,Pholis1,18,1
kis1 2018 7 13,Platichthys stellatus,0,0
kis1 2018 7 13,Pleuronectidae1,23,1
kis1 2018 7 13,Pleuronichthys coenosus,0,0
kis1 2018 7 13,Rhacochilus vacca,0,0
kis1 2018 7 13,Rhinogobiops nicholsii,0,0
kis1 2018 7 13,Rimicola muscarum,0,0
kis1 2018 7 13,Salvelinus malma,0,0
kis1 2018 7 13,Scorpaenichthys marmoratus,1,1
kis1 2018 7 13,Sebastes paucispinis,0,0
kis1 2018 7 13,Sebastes1,1,1
kis1 2018 7 13,Sebastes2,0,0
kis1 2018 7 13,Synchirus gilli,15,1
kis1 2018 7 13,Syngnathus leptorhynchus,4,1
kis1 2018 7 13,Trichodon trichodon,0,0
kis1 2019 8 1,Ammodytes1,79,1
kis1 2019 8 1,Amphistichus rhodoterus,0,0
kis1 2019 8 1,Anoplarchus1,0,0
kis1 2019 8 1,Apodichthys flavidus,5,1
kis1 2019 8 1,Artedius1,3,1
kis1 2019 8 1,Ascelichthys rhodorus,0,0
kis1 2019 8 1,Aulorhynchus flavidus,6,1
kis1 2019 8 1,Blepsias cirrhosus,0,0
kis1 2019 8 1,Brachyistius frenatus,0,0
kis1 2019 8 1,Chitonotus pugetensis,1,1
kis1 2019 8 1,Citharichthys1,10,1
kis1 2019 8 1,Clinocottus acuticeps,0,0
kis1 2019 8 1,Clupea pallasii,0,0
kis1 2019 8 1,Cymatogaster aggregata,18,1
kis1 2019 8 1,Embiotoca lateralis,0,0
kis1 2019 8 1,Enophrys bison,13,1
kis1 2019 8 1,Gadus chalcogrammus,0,0
kis1 2019 8 1,Gadus macrocephalus,0,0
kis1 2019 8 1,Gasterosteus aculeatus,0,0
kis1 2019 8 1,Gibbonsia metzi,0,0
kis1 2019 8 1,Gobiesox maeandricus,0,0
kis1 2019 8 1,Hemilepidotus hemilepidotus,0,0
kis1 2019 8 1,Hexagrammos decagrammus,18,1
kis1 2019 8 1,Hexagrammos stelleri,0,0
kis1 2019 8 1,Hexagrammos1,0,0
kis1 2019 8 1,Hypomesus pretiosus,0,0
kis1 2019 8 1,Jordania zonope,1,1
kis1 2019 8 1,Lepidogobius lepidus,0,0
kis1 2019 8 1,Lepidopsetta1,0,0
kis1 2019 8 1,Leptocottus armatus,1,1
kis1 2019 8 1,Lumpenus sagitta,0,0
kis1 2019 8 1,Microgadus proximus,0,0
kis1 2019 8 1,Myoxocephalus1,0,0
kis1 2019 8 1,Odontopyxis trispinosa,0,0
kis1 2019 8 1,Oligocottus rimensis,0,0
kis1 2019 8 1,Oligocottus1,9,1
kis1 2019 8 1,Oncorhynchus kisutch,0,0
kis1 2019 8 1,Oncorhynchus tshawytscha,0,0
kis1 2019 8 1,Ophiodon elongatus,0,0
kis1 2019 8 1,Oxylebius pictus,0,0
kis1 2019 8 1,Pallasina barbata,0,0
kis1 2019 8 1,Pholis1,17,1
kis1 2019 8 1,Platichthys stellatus,0,0
kis1 2019 8 1,Pleuronectidae1,2,1
kis1 2019 8 1,Pleuronichthys coenosus,7,1
kis1 2019 8 1,Rhacochilus vacca,0,0
kis1 2019 8 1,Rhinogobiops nicholsii,0,0
kis1 2019 8 1,Rimicola muscarum,0,0
kis1 2019 8 1,Salvelinus malma,0,0
kis1 2019 8 1,Scorpaenichthys marmoratus,1,1
kis1 2019 8 1,Sebastes paucispinis,0,0
kis1 2019 8 1,Sebastes1,0,0
kis1 2019 8 1,Sebastes2,0,0
kis1 2019 8 1,Synchirus gilli,0,0
kis1 2019 8 1,Syngnathus leptorhynchus,10,1
kis1 2019 8 1,Trichodon trichodon,0,0
kis1 2020 7 24,Ammodytes1,11,1
kis1 2020 7 24,Amphistichus rhodoterus,0,0
kis1 2020 7 24,Anoplarchus1,0,0
kis1 2020 7 24,Apodichthys flavidus,3,1
kis1 2020 7 24,Artedius1,4,1
kis1 2020 7 24,Ascelichthys rhodorus,0,0
kis1 2020 7 24,Aulorhynchus flavidus,22,1
kis1 2020 7 24,Blepsias cirrhosus,4,1
kis1 2020 7 24,Brachyistius frenatus,1,1
kis1 2020 7 24,Chitonotus pugetensis,6,1
kis1 2020 7 24,Citharichthys1,1,1
kis1 2020 7 24,Clinocottus acuticeps,0,0
kis1 2020 7 24,Clupea pallasii,0,0
kis1 2020 7 24,Cymatogaster aggregata,46,1
kis1 2020 7 24,Embiotoca lateralis,0,0
kis1 2020 7 24,Enophrys bison,4,1
kis1 2020 7 24,Gadus chalcogrammus,0,0
kis1 2020 7 24,Gadus macrocephalus,0,0
