dat_site,LCT_shared,abundance,p_a
kis1 2020 7 24,Gasterosteus aculeatus,0,0
kis1 2020 7 24,Gibbonsia metzi,0,0
kis1 2020 7 24,Gobiesox maeandricus,0,0
kis1 2020 7 24,Hemilepidotus hemilepidotus,0,0
kis1 2020 7 24,Hexagrammos decagrammus,8,1
kis1 2020 7 24,Hexagrammos stelleri,0,0
kis1 2020 7 24,Hexagrammos1,0,0
kis1 2020 7 24,Hypomesus pretiosus,0,0
kis1 2020 7 24,Jordania zonope,0,0
kis1 2020 7 24,Lepidogobius lepidus,0,0
kis1 2020 7 24,Lepidopsetta1,1,1
kis1 2020 7 24,Leptocottus armatus,1,1
kis1 2020 7 24,Lumpenus sagitta,0,0
kis1 2020 7 24,Microgadus proximus,0,0
kis1 2020 7 24,Myoxocephalus1,0,0
kis1 2020 7 24,Odontopyxis trispinosa,0,0
kis1 2020 7 24,Oligocottus rimensis,0,0
kis1 2020 7 24,Oligocottus1,7,1
kis1 2020 7 24,Oncorhynchus kisutch,0,0
kis1 2020 7 24,Oncorhynchus tshawytscha,0,0
kis1 2020 7 24,Ophiodon elongatus,1,1
kis1 2020 7 24,Oxylebius pictus,0,0
kis1 2020 7 24,Pallasina barbata,0,0
kis1 2020 7 24,Pholis1,21,1
kis1 2020 7 24,Platichthys stellatus,0,0
kis1 2020 7 24,Pleuronectidae1,12,1
kis1 2020 7 24,Pleuronichthys coenosus,8,1
kis1 2020 7 24,Rhacochilus vacca,0,0
kis1 2020 7 24,Rhinogobiops nicholsii,0,0
kis1 2020 7 24,Rimicola muscarum,0,0
kis1 2020 7 24,Salvelinus malma,0,0
kis1 2020 7 24,Scorpaenichthys marmoratus,0,0
kis1 2020 7 24,Sebastes paucispinis,0,0
kis1 2020 7 24,Sebastes1,2,1
kis1 2020 7 24,Sebastes2,25,1
kis1 2020 7 24,Synchirus gilli,3,1
kis1 2020 7 24,Syngnathus leptorhynchus,12,1
kis1 2020 7 24,Trichodon trichodon,0,0
kis2 2018 7 13,Ammodytes1,2420,1
kis2 2018 7 13,Amphistichus rhodoterus,0,0
kis2 2018 7 13,Anoplarchus1,1,1
kis2 2018 7 13,Apodichthys flavidus,5,1
kis2 2018 7 13,Artedius1,0,0
kis2 2018 7 13,Ascelichthys rhodorus,0,0
kis2 2018 7 13,Aulorhynchus flavidus,0,0
kis2 2018 7 13,Blepsias cirrhosus,0,0
kis2 2018 7 13,Brachyistius frenatus,0,0
kis2 2018 7 13,Chitonotus pugetensis,0,0
kis2 2018 7 13,Citharichthys1,16,1
kis2 2018 7 13,Clinocottus acuticeps,0,0
kis2 2018 7 13,Clupea pallasii,3170,1
kis2 2018 7 13,Cymatogaster aggregata,13,1
kis2 2018 7 13,Embiotoca lateralis,0,0
kis2 2018 7 13,Enophrys bison,4,1
kis2 2018 7 13,Gadus chalcogrammus,0,0
kis2 2018 7 13,Gadus macrocephalus,3,1
kis2 2018 7 13,Gasterosteus aculeatus,0,0
kis2 2018 7 13,Gibbonsia metzi,0,0
kis2 2018 7 13,Gobiesox maeandricus,0,0
kis2 2018 7 13,Hemilepidotus hemilepidotus,6,1
kis2 2018 7 13,Hexagrammos decagrammus,34,1
kis2 2018 7 13,Hexagrammos stelleri,1,1
kis2 2018 7 13,Hexagrammos1,1,1
kis2 2018 7 13,Hypomesus pretiosus,0,0
kis2 2018 7 13,Jordania zonope,0,0
kis2 2018 7 13,Lepidogobius lepidus,0,0
kis2 2018 7 13,Lepidopsetta1,0,0
kis2 2018 7 13,Leptocottus armatus,1,1
kis2 2018 7 13,Lumpenus sagitta,0,0
kis2 2018 7 13,Microgadus proximus,0,0
kis2 2018 7 13,Myoxocephalus1,0,0
kis2 2018 7 13,Odontopyxis trispinosa,0,0
kis2 2018 7 13,Oligocottus rimensis,0,0
kis2 2018 7 13,Oligocottus1,0,0
kis2 2018 7 13,Oncorhynchus kisutch,0,0
kis2 2018 7 13,Oncorhynchus tshawytscha,0,0
kis2 2018 7 13,Ophiodon elongatus,1,1
kis2 2018 7 13,Oxylebius pictus,0,0
kis2 2018 7 13,Pallasina barbata,0,0
kis2 2018 7 13,Pholis1,4,1
kis2 2018 7 13,Platichthys stellatus,0,0
kis2 2018 7 13,Pleuronectidae1,36,1
kis2 2018 7 13,Pleuronichthys coenosus,0,0
kis2 2018 7 13,Rhacochilus vacca,0,0
kis2 2018 7 13,Rhinogobiops nicholsii,0,0
kis2 2018 7 13,Rimicola muscarum,0,0
kis2 2018 7 13,Salvelinus malma,0,0
kis2 2018 7 13,Scorpaenichthys marmoratus,1,1
kis2 2018 7 13,Sebastes paucispinis,0,0
kis2 2018 7 13,Sebastes1,0,0
kis2 2018 7 13,Sebastes2,0,0
kis2 2018 7 13,Synchirus gilli,22,1
kis2 2018 7 13,Syngnathus leptorhynchus,3,1
kis2 2018 7 13,Trichodon trichodon,0,0
kis2 2019 8 1,Ammodytes1,0,0
kis2 2019 8 1,Amphistichus rhodoterus,0,0
kis2 2019 8 1,Anoplarchus1,0,0
kis2 2019 8 1,Apodichthys flavidus,4,1
kis2 2019 8 1,Artedius1,0,0
kis2 2019 8 1,Ascelichthys rhodorus,0,0
kis2 2019 8 1,Aulorhynchus flavidus,1,1
kis2 2019 8 1,Blepsias cirrhosus,1,1
kis2 2019 8 1,Brachyistius frenatus,1,1
kis2 2019 8 1,Chitonotus pugetensis,0,0
kis2 2019 8 1,Citharichthys1,2,1
kis2 2019 8 1,Clinocottus acuticeps,0,0
kis2 2019 8 1,Clupea pallasii,0,0
kis2 2019 8 1,Cymatogaster aggregata,29,1
kis2 2019 8 1,Embiotoca lateralis,9,1
kis2 2019 8 1,Enophrys bison,0,0
kis2 2019 8 1,Gadus chalcogrammus,0,0
kis2 2019 8 1,Gadus macrocephalus,0,0
kis2 2019 8 1,Gasterosteus aculeatus,0,0
kis2 2019 8 1,Gibbonsia metzi,1,1
kis2 2019 8 1,Gobiesox maeandricus,3,1
kis2 2019 8 1,Hemilepidotus hemilepidotus,1,1
kis2 2019 8 1,Hexagrammos decagrammus,12,1
kis2 2019 8 1,Hexagrammos stelleri,0,0
kis2 2019 8 1,Hexagrammos1,0,0
kis2 2019 8 1,Hypomesus pretiosus,0,0
kis2 2019 8 1,Jordania zonope,0,0
kis2 2019 8 1,Lepidogobius lepidus,0,0
kis2 2019 8 1,Lepidopsetta1,0,0
kis2 2019 8 1,Leptocottus armatus,1,1
kis2 2019 8 1,Lumpenus sagitta,0,0
kis2 2019 8 1,Microgadus proximus,0,0
kis2 2019 8 1,Myoxocephalus1,0,0
kis2 2019 8 1,Odontopyxis trispinosa,0,0
kis2 2019 8 1,Oligocottus rimensis,0,0
kis2 2019 8 1,Oligocottus1,44,1
kis2 2019 8 1,Oncorhynchus kisutch,0,0
kis2 2019 8 1,Oncorhynchus tshawytscha,0,0
kis2 2019 8 1,Ophiodon elongatus,0,0
kis2 2019 8 1,Oxylebius pictus,0,0
kis2 2019 8 1,Pallasina barbata,0,0
kis2 2019 8 1,Pholis1,8,1
kis2 2019 8 1,Platichthys stellatus,0,0
kis2 2019 8 1,Pleuronectidae1,8,1
kis2 2019 8 1,Pleuronichthys coenosus,0,0
kis2 2019 8 1,Rhacochilus vacca,0,0
kis2 2019 8 1,Rhinogobiops nicholsii,1,1
kis2 2019 8 1,Rimicola muscarum,0,0
kis2 2019 8 1,Salvelinus malma,0,0
kis2 2019 8 1,Scorpaenichthys marmoratus,8,1
kis2 2019 8 1,Sebastes paucispinis,0,0
kis2 2019 8 1,Sebastes1,0,0
kis2 2019 8 1,Sebastes2,0,0
kis2 2019 8 1,Synchirus gilli,3,1
kis2 2019 8 1,Syngnathus leptorhynchus,77,1
kis2 2019 8 1,Trichodon trichodon,0,0
kis2 2020 7 24,Ammodytes1,0,0
kis2 2020 7 24,Amphistichus rhodoterus,0,0
kis2 2020 7 24,Anoplarchus1,0,0
kis2 2020 7 24,Apodichthys flavidus,1,1
kis2 2020 7 24,Artedius1,6,1
kis2 2020 7 24,Ascelichthys rhodorus,0,0
kis2 2020 7 24,Aulorhynchus flavidus,4,1
kis2 2020 7 24,Blepsias cirrhosus,0,0
kis2 2020 7 24,Brachyistius frenatus,0,0
kis2 2020 7 24,Chitonotus pugetensis,7,1
kis2 2020 7 24,Citharichthys1,2,1
kis2 2020 7 24,Clinocottus acuticeps,0,0
kis2 2020 7 24,Clupea pallasii,0,0
kis2 2020 7 24,Cymatogaster aggregata,9,1
kis2 2020 7 24,Embiotoca lateralis,1,1
kis2 2020 7 24,Enophrys bison,11,1
kis2 2020 7 24,Gadus chalcogrammus,0,0
kis2 2020 7 24,Gadus macrocephalus,0,0
kis2 2020 7 24,Gasterosteus aculeatus,0,0
kis2 2020 7 24,Gibbonsia metzi,0,0
kis2 2020 7 24,Gobiesox maeandricus,8,1
kis2 2020 7 24,Hemilepidotus hemilepidotus,0,0
kis2 2020 7 24,Hexagrammos decagrammus,21,1
kis2 2020 7 24,Hexagrammos stelleri,0,0
kis2 2020 7 24,Hexagrammos1,0,0
kis2 2020 7 24,Hypomesus pretiosus,0,0
kis2 2020 7 24,Jordania zonope,0,0
kis2 2020 7 24,Lepidogobius lepidus,0,0
kis2 2020 7 24,Lepidopsetta1,2,1
kis2 2020 7 24,Leptocottus armatus,2,1
kis2 2020 7 24,Lumpenus sagitta,0,0
kis2 2020 7 24,Microgadus proximus,0,0
kis2 2020 7 24,Myoxocephalus1,0,0
kis2 2020 7 24,Odontopyxis trispinosa,0,0
kis2 2020 7 24,Oligocottus rimensis,0,0
kis2 2020 7 24,Oligocottus1,13,1
kis2 2020 7 24,Oncorhynchus kisutch,0,0
kis2 2020 7 24,Oncorhynchus tshawytscha,0,0
kis2 2020 7 24,Ophiodon elongatus,1,1
kis2 2020 7 24,Oxylebius pictus,0,0
kis2 2020 7 24,Pallasina barbata,0,0
kis2 2020 7 24,Pholis1,29,1
kis2 2020 7 24,Platichthys stellatus,0,0
kis2 2020 7 24,Pleuronectidae1,22,1
kis2 2020 7 24,Pleuronichthys coenosus,0,0
kis2 2020 7 24,Rhacochilus vacca,0,0
kis2 2020 7 24,Rhinogobiops nicholsii,0,0
kis2 2020 7 24,Rimicola muscarum,0,0
kis2 2020 7 24,Salvelinus malma,0,0
kis2 2020 7 24,Scorpaenichthys marmoratus,1,1
kis2 2020 7 24,Sebastes paucispinis,0,0
kis2 2020 7 24,Sebastes1,0,0
kis2 2020 7 24,Sebastes2,0,0
kis2 2020 7 24,Synchirus gilli,1,1
kis2 2020 7 24,Syngnathus leptorhynchus,19,1
kis2 2020 7 24,Trichodon trichodon,0,0
koe1 2018 7 18,Ammodytes1,1,1
koe1 2018 7 18,Amphistichus rhodoterus,0,0
koe1 2018 7 18,Anoplarchus1,0,0
koe1 2018 7 18,Apodichthys flavidus,0,0
koe1 2018 7 18,Artedius1,0,0
koe1 2018 7 18,Ascelichthys rhodorus,0,0
koe1 2018 7 18,Aulorhynchus flavidus,0,0
koe1 2018 7 18,Blepsias cirrhosus,0,0
koe1 2018 7 18,Brachyistius frenatus,0,0
koe1 2018 7 18,Chitonotus pugetensis,0,0
koe1 2018 7 18,Citharichthys1,67,1
koe1 2018 7 18,Clinocottus acuticeps,0,0
koe1 2018 7 18,Clupea pallasii,0,0
koe1 2018 7 18,Cymatogaster aggregata,0,0
koe1 2018 7 18,Embiotoca lateralis,0,0
koe1 2018 7 18,Enophrys bison,0,0
koe1 2018 7 18,Gadus chalcogrammus,0,0
koe1 2018 7 18,Gadus macrocephalus,0,0
koe1 2018 7 18,Gasterosteus aculeatus,0,0
koe1 2018 7 18,Gibbonsia metzi,0,0
koe1 2018 7 18,Gobiesox maeandricus,0,0
koe1 2018 7 18,Hemilepidotus hemilepidotus,0,0
koe1 2018 7 18,Hexagrammos decagrammus,0,0
koe1 2018 7 18,Hexagrammos stelleri,0,0
koe1 2018 7 18,Hexagrammos1,0,0
koe1 2018 7 18,Hypomesus pretiosus,0,0
koe1 2018 7 18,Jordania zonope,0,0
koe1 2018 7 18,Lepidogobius lepidus,0,0
koe1 2018 7 18,Lepidopsetta1,0,0
koe1 2018 7 18,Leptocottus armatus,7,1
koe1 2018 7 18,Lumpenus sagitta,0,0
koe1 2018 7 18,Microgadus proximus,0,0
koe1 2018 7 18,Myoxocephalus1,0,0
koe1 2018 7 18,Odontopyxis trispinosa,0,0
koe1 2018 7 18,Oligocottus rimensis,0,0
koe1 2018 7 18,Oligocottus1,1,1
koe1 2018 7 18,Oncorhynchus kisutch,24,1
koe1 2018 7 18,Oncorhynchus tshawytscha,0,0
koe1 2018 7 18,Ophiodon elongatus,0,0
koe1 2018 7 18,Oxylebius pictus,0,0
koe1 2018 7 18,Pallasina barbata,0,0
koe1 2018 7 18,Pholis1,0,0
koe1 2018 7 18,Platichthys stellatus,3,1
koe1 2018 7 18,Pleuronectidae1,161,1
koe1 2018 7 18,Pleuronichthys coenosus,0,0
koe1 2018 7 18,Rhacochilus vacca,0,0
koe1 2018 7 18,Rhinogobiops nicholsii,0,0
koe1 2018 7 18,Rimicola muscarum,0,0
koe1 2018 7 18,Salvelinus malma,1,1
koe1 2018 7 18,Scorpaenichthys marmoratus,0,0
koe1 2018 7 18,Sebastes paucispinis,0,0
koe1 2018 7 18,Sebastes1,0,0
koe1 2018 7 18,Sebastes2,0,0
koe1 2018 7 18,Synchirus gilli,0,0
koe1 2018 7 18,Syngnathus leptorhynchus,2,1
koe1 2018 7 18,Trichodon trichodon,0,0
koe1 2019 8 4,Ammodytes1,129,1
koe1 2019 8 4,Amphistichus rhodoterus,0,0
koe1 2019 8 4,Anoplarchus1,0,0
koe1 2019 8 4,Apodichthys flavidus,0,0
koe1 2019 8 4,Artedius1,0,0
koe1 2019 8 4,Ascelichthys rhodorus,0,0
koe1 2019 8 4,Aulorhynchus flavidus,0,0
koe1 2019 8 4,Blepsias cirrhosus,0,0
koe1 2019 8 4,Brachyistius frenatus,0,0
koe1 2019 8 4,Chitonotus pugetensis,0,0
koe1 2019 8 4,Citharichthys1,180,1
koe1 2019 8 4,Clinocottus acuticeps,0,0
koe1 2019 8 4,Clupea pallasii,0,0
koe1 2019 8 4,Cymatogaster aggregata,0,0
koe1 2019 8 4,Embiotoca lateralis,0,0
koe1 2019 8 4,Enophrys bison,0,0
koe1 2019 8 4,Gadus chalcogrammus,0,0
koe1 2019 8 4,Gadus macrocephalus,0,0
koe1 2019 8 4,Gasterosteus aculeatus,0,0
koe1 2019 8 4,Gibbonsia metzi,0,0
koe1 2019 8 4,Gobiesox maeandricus,0,0
koe1 2019 8 4,Hemilepidotus hemilepidotus,0,0
koe1 2019 8 4,Hexagrammos decagrammus,0,0
koe1 2019 8 4,Hexagrammos stelleri,0,0
koe1 2019 8 4,Hexagrammos1,0,0
koe1 2019 8 4,Hypomesus pretiosus,0,0
koe1 2019 8 4,Jordania zonope,0,0
koe1 2019 8 4,Lepidogobius lepidus,0,0
koe1 2019 8 4,Lepidopsetta1,0,0
koe1 2019 8 4,Leptocottus armatus,69,1
koe1 2019 8 4,Lumpenus sagitta,0,0
koe1 2019 8 4,Microgadus proximus,0,0
koe1 2019 8 4,Myoxocephalus1,0,0
koe1 2019 8 4,Odontopyxis trispinosa,0,0
koe1 2019 8 4,Oligocottus rimensis,0,0
koe1 2019 8 4,Oligocottus1,0,0
koe1 2019 8 4,Oncorhynchus kisutch,0,0
koe1 2019 8 4,Oncorhynchus tshawytscha,0,0
koe1 2019 8 4,Ophiodon elongatus,0,0
koe1 2019 8 4,Oxylebius pictus,0,0
koe1 2019 8 4,Pallasina barbata,0,0
koe1 2019 8 4,Pholis1,0,0
koe1 2019 8 4,Platichthys stellatus,11,1
koe1 2019 8 4,Pleuronectidae1,317,1
koe1 2019 8 4,Pleuronichthys coenosus,0,0
koe1 2019 8 4,Rhacochilus vacca,0,0
koe1 2019 8 4,Rhinogobiops nicholsii,0,0
koe1 2019 8 4,Rimicola muscarum,0,0
koe1 2019 8 4,Salvelinus malma,1,1
koe1 2019 8 4,Scorpaenichthys marmoratus,0,0
koe1 2019 8 4,Sebastes paucispinis,0,0
koe1 2019 8 4,Sebastes1,0,0
koe1 2019 8 4,Sebastes2,0,0
koe1 2019 8 4,Synchirus gilli,0,0
koe1 2019 8 4,Syngnathus leptorhynchus,3,1
koe1 2019 8 4,Trichodon trichodon,0,0
koe1 2020 7 23,Ammodytes1,643,1
koe1 2020 7 23,Amphistichus rhodoterus,0,0
koe1 2020 7 23,Anoplarchus1,0,0
koe1 2020 7 23,Apodichthys flavidus,0,0
koe1 2020 7 23,Artedius1,0,0
koe1 2020 7 23,Ascelichthys rhodorus,0,0
koe1 2020 7 23,Aulorhynchus flavidus,0,0
koe1 2020 7 23,Blepsias cirrhosus,0,0
koe1 2020 7 23,Brachyistius frenatus,0,0
koe1 2020 7 23,Chitonotus pugetensis,0,0
koe1 2020 7 23,Citharichthys1,69,1
koe1 2020 7 23,Clinocottus acuticeps,0,0
koe1 2020 7 23,Clupea pallasii,0,0
koe1 2020 7 23,Cymatogaster aggregata,0,0
koe1 2020 7 23,Embiotoca lateralis,0,0
koe1 2020 7 23,Enophrys bison,0,0
koe1 2020 7 23,Gadus chalcogrammus,0,0
koe1 2020 7 23,Gadus macrocephalus,0,0
koe1 2020 7 23,Gasterosteus aculeatus,3,1
koe1 2020 7 23,Gibbonsia metzi,0,0
koe1 2020 7 23,Gobiesox maeandricus,0,0
koe1 2020 7 23,Hemilepidotus hemilepidotus,0,0
koe1 2020 7 23,Hexagrammos decagrammus,0,0
koe1 2020 7 23,Hexagrammos stelleri,0,0
koe1 2020 7 23,Hexagrammos1,0,0
koe1 2020 7 23,Hypomesus pretiosus,0,0
koe1 2020 7 23,Jordania zonope,0,0
koe1 2020 7 23,Lepidogobius lepidus,0,0
koe1 2020 7 23,Lepidopsetta1,0,0
koe1 2020 7 23,Leptocottus armatus,27,1
koe1 2020 7 23,Lumpenus sagitta,0,0
koe1 2020 7 23,Microgadus proximus,0,0
koe1 2020 7 23,Myoxocephalus1,0,0
koe1 2020 7 23,Odontopyxis trispinosa,0,0
koe1 2020 7 23,Oligocottus rimensis,0,0
koe1 2020 7 23,Oligocottus1,0,0
koe1 2020 7 23,Oncorhynchus kisutch,5,1
koe1 2020 7 23,Oncorhynchus tshawytscha,0,0
koe1 2020 7 23,Ophiodon elongatus,0,0
koe1 2020 7 23,Oxylebius pictus,0,0
koe1 2020 7 23,Pallasina barbata,1,1
koe1 2020 7 23,Pholis1,0,0
koe1 2020 7 23,Platichthys stellatus,20,1
koe1 2020 7 23,Pleuronectidae1,163,1
koe1 2020 7 23,Pleuronichthys coenosus,0,0
koe1 2020 7 23,Rhacochilus vacca,0,0
koe1 2020 7 23,Rhinogobiops nicholsii,0,0
koe1 2020 7 23,Rimicola muscarum,0,0
koe1 2020 7 23,Salvelinus malma,4,1
koe1 2020 7 23,Scorpaenichthys marmoratus,0,0
koe1 2020 7 23,Sebastes paucispinis,0,0
koe1 2020 7 23,Sebastes1,0,0
koe1 2020 7 23,Sebastes2,0,0
koe1 2020 7 23,Synchirus gilli,0,0
koe1 2020 7 23,Syngnathus leptorhynchus,7,1
koe1 2020 7 23,Trichodon trichodon,0,0
koe3 2018 7 18,Ammodytes1,6601,1
koe3 2018 7 18,Amphistichus rhodoterus,0,0
koe3 2018 7 18,Anoplarchus1,0,0
koe3 2018 7 18,Apodichthys flavidus,0,0
koe3 2018 7 18,Artedius1,0,0
koe3 2018 7 18,Ascelichthys rhodorus,0,0
koe3 2018 7 18,Aulorhynchus flavidus,0,0
koe3 2018 7 18,Blepsias cirrhosus,0,0
koe3 2018 7 18,Brachyistius frenatus,0,0
koe3 2018 7 18,Chitonotus pugetensis,0,0
koe3 2018 7 18,Citharichthys1,1,1
koe3 2018 7 18,Clinocottus acuticeps,0,0
koe3 2018 7 18,Clupea pallasii,6,1
koe3 2018 7 18,Cymatogaster aggregata,4,1
koe3 2018 7 18,Embiotoca lateralis,0,0
koe3 2018 7 18,Enophrys bison,0,0
koe3 2018 7 18,Gadus chalcogrammus,0,0
koe3 2018 7 18,Gadus macrocephalus,0,0
koe3 2018 7 18,Gasterosteus aculeatus,0,0
koe3 2018 7 18,Gibbonsia metzi,0,0
koe3 2018 7 18,Gobiesox maeandricus,0,0
koe3 2018 7 18,Hemilepidotus hemilepidotus,1,1
koe3 2018 7 18,Hexagrammos decagrammus,1,1
koe3 2018 7 18,Hexagrammos stelleri,0,0
koe3 2018 7 18,Hexagrammos1,0,0
koe3 2018 7 18,Hypomesus pretiosus,0,0
koe3 2018 7 18,Jordania zonope,0,0
koe3 2018 7 18,Lepidogobius lepidus,0,0
koe3 2018 7 18,Lepidopsetta1,0,0
koe3 2018 7 18,Leptocottus armatus,0,0
koe3 2018 7 18,Lumpenus sagitta,0,0
koe3 2018 7 18,Microgadus proximus,0,0
koe3 2018 7 18,Myoxocephalus1,0,0
koe3 2018 7 18,Odontopyxis trispinosa,0,0
koe3 2018 7 18,Oligocottus rimensis,0,0
koe3 2018 7 18,Oligocottus1,0,0
koe3 2018 7 18,Oncorhynchus kisutch,25,1
koe3 2018 7 18,Oncorhynchus tshawytscha,0,0
koe3 2018 7 18,Ophiodon elongatus,0,0
koe3 2018 7 18,Oxylebius pictus,0,0
koe3 2018 7 18,Pallasina barbata,0,0
koe3 2018 7 18,Pholis1,0,0
koe3 2018 7 18,Platichthys stellatus,2,1
koe3 2018 7 18,Pleuronectidae1,2,1
koe3 2018 7 18,Pleuronichthys coenosus,0,0
koe3 2018 7 18,Rhacochilus vacca,0,0
koe3 2018 7 18,Rhinogobiops nicholsii,0,0
koe3 2018 7 18,Rimicola muscarum,0,0
koe3 2018 7 18,Salvelinus malma,11,1
koe3 2018 7 18,Scorpaenichthys marmoratus,0,0
koe3 2018 7 18,Sebastes paucispinis,0,0
koe3 2018 7 18,Sebastes1,0,0
koe3 2018 7 18,Sebastes2,2,1
koe3 2018 7 18,Synchirus gilli,0,0
koe3 2018 7 18,Syngnathus leptorhynchus,0,0
koe3 2018 7 18,Trichodon trichodon,0,0
koe3 2019 8 4,Ammodytes1,10040,1
koe3 2019 8 4,Amphistichus rhodoterus,0,0
koe3 2019 8 4,Anoplarchus1,0,0
koe3 2019 8 4,Apodichthys flavidus,1,1
koe3 2019 8 4,Artedius1,1,1
koe3 2019 8 4,Ascelichthys rhodorus,0,0
koe3 2019 8 4,Aulorhynchus flavidus,1,1
koe3 2019 8 4,Blepsias cirrhosus,0,0
koe3 2019 8 4,Brachyistius frenatus,0,0
koe3 2019 8 4,Chitonotus pugetensis,0,0
koe3 2019 8 4,Citharichthys1,1,1
koe3 2019 8 4,Clinocottus acuticeps,0,0
koe3 2019 8 4,Clupea pallasii,1,1
koe3 2019 8 4,Cymatogaster aggregata,50,1
koe3 2019 8 4,Embiotoca lateralis,0,0
koe3 2019 8 4,Enophrys bison,1,1
koe3 2019 8 4,Gadus chalcogrammus,0,0
koe3 2019 8 4,Gadus macrocephalus,0,0
koe3 2019 8 4,Gasterosteus aculeatus,0,0
koe3 2019 8 4,Gibbonsia metzi,0,0
koe3 2019 8 4,Gobiesox maeandricus,0,0
koe3 2019 8 4,Hemilepidotus hemilepidotus,0,0
koe3 2019 8 4,Hexagrammos decagrammus,0,0
koe3 2019 8 4,Hexagrammos stelleri,0,0
koe3 2019 8 4,Hexagrammos1,0,0
koe3 2019 8 4,Hypomesus pretiosus,0,0
koe3 2019 8 4,Jordania zonope,0,0
koe3 2019 8 4,Lepidogobius lepidus,0,0
koe3 2019 8 4,Lepidopsetta1,0,0
koe3 2019 8 4,Leptocottus armatus,4,1
koe3 2019 8 4,Lumpenus sagitta,0,0
koe3 2019 8 4,Microgadus proximus,0,0
koe3 2019 8 4,Myoxocephalus1,0,0
koe3 2019 8 4,Odontopyxis trispinosa,0,0
koe3 2019 8 4,Oligocottus rimensis,0,0
koe3 2019 8 4,Oligocottus1,1,1
koe3 2019 8 4,Oncorhynchus kisutch,0,0
koe3 2019 8 4,Oncorhynchus tshawytscha,0,0
koe3 2019 8 4,Ophiodon elongatus,0,0
koe3 2019 8 4,Oxylebius pictus,0,0
koe3 2019 8 4,Pallasina barbata,0,0
koe3 2019 8 4,Pholis1,0,0
koe3 2019 8 4,Platichthys stellatus,2,1
koe3 2019 8 4,Pleuronectidae1,1,1
koe3 2019 8 4,Pleuronichthys coenosus,0,0
koe3 2019 8 4,Rhacochilus vacca,0,0
koe3 2019 8 4,Rhinogobiops nicholsii,0,0
koe3 2019 8 4,Rimicola muscarum,0,0
koe3 2019 8 4,Salvelinus malma,0,0
koe3 2019 8 4,Scorpaenichthys marmoratus,0,0
koe3 2019 8 4,Sebastes paucispinis,0,0
koe3 2019 8 4,Sebastes1,0,0
koe3 2019 8 4,Sebastes2,0,0
koe3 2019 8 4,Synchirus gilli,0,0
koe3 2019 8 4,Syngnathus leptorhynchus,3,1
koe3 2019 8 4,Trichodon trichodon,0,0
koe3 2020 7 23,Ammodytes1,15,1
koe3 2020 7 23,Amphistichus rhodoterus,0,0
koe3 2020 7 23,Anoplarchus1,0,0
koe3 2020 7 23,Apodichthys flavidus,1,1
koe3 2020 7 23,Artedius1,0,0
koe3 2020 7 23,Ascelichthys rhodorus,0,0
koe3 2020 7 23,Aulorhynchus flavidus,0,0
koe3 2020 7 23,Blepsias cirrhosus,9,1
koe3 2020 7 23,Brachyistius frenatus,0,0
koe3 2020 7 23,Chitonotus pugetensis,0,0
koe3 2020 7 23,Citharichthys1,0,0
koe3 2020 7 23,Clinocottus acuticeps,0,0
koe3 2020 7 23,Clupea pallasii,0,0
koe3 2020 7 23,Cymatogaster aggregata,367,1
koe3 2020 7 23,Embiotoca lateralis,0,0
koe3 2020 7 23,Enophrys bison,0,0
koe3 2020 7 23,Gadus chalcogrammus,0,0
koe3 2020 7 23,Gadus macrocephalus,0,0
koe3 2020 7 23,Gasterosteus aculeatus,0,0
koe3 2020 7 23,Gibbonsia metzi,0,0
koe3 2020 7 23,Gobiesox maeandricus,0,0
koe3 2020 7 23,Hemilepidotus hemilepidotus,0,0
koe3 2020 7 23,Hexagrammos decagrammus,0,0
koe3 2020 7 23,Hexagrammos stelleri,0,0
koe3 2020 7 23,Hexagrammos1,0,0
